32;Lycée Yavné;12/05/2016;Non;04 91 66 14 77;ce.0132472s@ac-aix-marseille.fr;44-46 boulevard Barry, Saint Just;13013;Marseille   ;Oui;Non
33;Lycée de Tour Sainte;12/05/2016;Non;04 91 21 53 00;toursainte@wanadoo.fr;12 avenue de Tour Sainte Sainte Marthe;13014;Marseille   ;Oui;Non
34;Lycée international Georges Duby;10/05/2016;Non;04 42 60 86 00;ce.0133525L@ac-aix-marseille.fr;200 rue Georges Duby Quartier Rampelin;13080;Luynes   ;Oui;Non
35;IUT;;Non;04 42 93 90 00;;413 Avenue Gaston Berger;13090;AIX EN PROVENCE CEDEX;Non;DUT GMP
36;IUT;;Non;04 42 93 90 00;;413 Avenue Gaston Berger;13090;AIX EN PROVENCE CEDEX;Non;DUT INFO
37;Lycée La Nativité;10/05/2016;Non;04 42 93 45 70;ce.0131319n@ac-aix-marseille.fr;8 rue Jean Andréani;13097;Aix-en-Provence Cedex 2 ;Oui;Non
38;Lycée Vauvenargues;10/05/2016;Non;04 42 17 40 40;ce.0130003H@ac-aix-marseille.fr;60 boulevard Carnot;13100;AIX EN PROVENCE ;Oui;Oui
39;Lycée du Sacré-Coeur;10/05/2016;Non;04 42 38 41 32;ce.0132917a@ac-aix-marseille.fr;29 rue Manuel;13100;Aix-en-Provence   ;Oui;Non
40;Lycée Paul Cézanne;10/05/2016;Non;04 42 17 14 00;ce.0130002g@ac-aix-marseille.fr;Avenue Jean et Marcel Fontenaille;13100;Aix-en-Provence   ;Oui;CPGE 
41;Lycée Sainte-Catherine de Sienne;10/05/2016;Non;04 42 23 48 98;E.C.L.SainteCatherine@wanadoo;20 rue Mignet;13100;Aix-en-Provence   ;Oui;Non
42;Lycée Marie-Madeleine Fourcade;10/05/2016;Non;04 42 65 90 70;ce.0133244F@ac-aix-marseille.fr;Avenue Groupe Manouchian;13120;GARDANNE   ;Oui;Oui
43;Lycée Jean Monnet;12/05/2016;Non;04 42 15 14 60;ce.0133288D@ac-aix-marseille.fr;Boulevard Rhin et Danube;13127;Vitrolles   ;Oui;Non
44;Lycée Jean Cocteau;12/05/2016;Non;04 90 50 02 98;ce.0133195C@ac-aix-marseille.fr;Avenue Jean Cocteau BP 33;13141;Miramas Cedex  ;Oui;Non
45;Lycée Alphonse Daudet;12/05/2016;Non;04 90 91 18 23;e.0130164H@ac-aix-marseille.fr;1 boulevard Jules Ferry;13150;Tarascon   ;Oui;Non
46;Lycée Saint-Louis-Sainte-Marie;10/05/2016;Non;04 42 31 73 00;secretariat.lycee@stlouis-stemarie.fr;Allée Saint Louis;13180;Gignac-la-Nerthe   ;Oui;Non
47;Lycée Emile Zola;10/05/2016;Non;04 42 93 87 00;ce.0130001F@ac-aix-marseille.fr;Avenue Arc de Meyran BP 60010;13181;Aix-en-Provence Cedex 5 ;Oui;Non
48;Lycée Louis Pasquet;10/05/2016;Non;04 90 18 35 15;ce.0130011S@ac-aix-marseille.fr;54 boulevard Marcellin Berthelot;13200;Arles   ;Oui;Oui
49;Lycée Thiers;10/05/2016;Non;04 91 18 92 18;ce.0130040Y@ac-aix-marseille.fr;5 place du Lycée;13232;Marseille   ;Oui;CPGE 
50;Lycée Saint-Joseph de la Madeleine;10/05/2016;Non;04 96 12 13 60;contact@stjomadeleine.org;172 bis boulevard de la Libération;13248;Marseille   ;Oui;Non
51;Lycée Notre-Dame de France;11/05/2016;Non;04 91 37 17 55;lycee@ndfrance.org;132 rue Breteuil BP 92;13253;Marseille   ;Oui;Non
52;Lycée de Provence;11/05/2016;Non;04 91 77 28 46;;42 boulevard Emile Sicard;13272;Marseille   ;Oui;Non
53;Lycée Marseilleveyre;11/05/2016;Non;04 91 17 67 00;ce.0130038W@ac-aix-marseille.fr;83 Traverse Parangon;13285;Marseille   ;Oui;Non
54;Lycée Montgrand;11/05/2016;Non;04 96 11 25 30;ce.0130042A@ac-aix-marseille.fr;13 rue Montgrand;13291;Marseille   ;Oui;Non
55;Lycée Périer;11/05/2016;Non;04 91 13 39 00;ce.0130036U@ac-aix-marseille.fr;270 rue Paradis;13295;Marseille   ;Oui;Non
56;IUT;;Non;04 90 56 88 56;;150 Avenue Maréchal Leclerc;13300; SALON DE PROVENCE;Non;DUT
57;Lycée Viala Lacoste;12/05/2016;Non;04 90 56 89 69;lycee.viala.lacoste@wanadoo.fr;16 avenue Gaston Cabrier;13300;Salon-de-Provence   ;Oui;Non
58;Lycée Saint-Charles;12/05/2016;Non;04 90 18 59 03;ce.0134004g@ac-aix-marseille.fr;9 rue de la Méditerranée;13310;Saint-Martin-de-Crau   ;Oui;Non
59;Lycée Notre-Dame de la Viste;12/05/2016;Non;04 91 60 90 57;ecole-ndv@wanadoo.fr;111 chemin Henri Beyle BP 12;13314;Marseille   ;Oui;Non
60;Lycée Saint-Exupéry;12/05/2016;Non;04 91 09 69 00;ce.0130048G@ac-aix-marseille.fr;529 chemin de la Madrague Ville;13326;Marseille   ;Oui;Non
61;Lycée Denis Diderot;11/05/2016;Non;04 91 10 07 00;ce.0130050J@ac-aix-marseille.fr;23 boulevard Laveran;13388;Marseille   ;Oui;B-EB-FED-MS-TP
62;iut;;Oui;04 91 28 93 00;;142 Traverse Charles Susini BP 157;13388;MARSEILLE CEDEX 13 ;Non;DUT
63;iut;;Non;04 91.28.93.00;;142 Traverse Charles Susini  BP 157;13388;MARSEILLE CEDEX 13 ;Non;DUT
64;iut;;Non;04 91 28 93 00;;142 Traverse Charles Susini   BP 157;13388;MARSEILLE CEDEX 13 ;Non;DUT
65;iut;;Non;04.91.28.93.00;;142 Traverse Charles Susini  BP 157;13388;MARSEILLE CEDEX 13 ;Non;DUT
66;iuy;;Non;04 91 28 93 00;;142 Traverse Charles Susini BP 157;13388;MARSEILLE CEDEX 13 ;Non;DUT
67;Lycée Saint-Charles Camas;10/05/2016;Non;04 95 08 12 40;contact@stcharles-camas.fr;21 rue du Camas;13392;Marseille   ;Oui;Non
68;Lycée technologique régional Marie Curie;10/05/2016;Non;04 91 36 52 10;ce.0130051K@ac-aix-marseille.fr;16 boulevard Jeanne d'Arc;13392;Marseille   ;Oui;Oui
69;Lycée Jean Perrin;21/10/2016;Non;04 91 74 29 30;ce.0130053M@ac-aix-marseille.fr;74 Rue Verdillon;13395;MARSEILLE   ;Oui;Oui
70;Lycée Marcel Pagnol;11/05/2016;Non;04 91 87 64 00;ce.0130037V@ac-aix-marseille.fr;128 boulevard de Saint Loup;13395;Marseille   ;Oui;Non
71;Lycée Ecole modèle d'électronique;11/05/2016;Non;04 91 44 65 37;;233 boulevard Saint Marcel;13396;Marseille   ;STI2D;SN
72;Lycée Frédéric Joliot-Curie;10/05/2016;Non;04 42 18 51 51;ce.0131549N@ac-aix-marseille.fr;Avenue des Goums;13400;Aubagne   ;S;Non
73;Lycée Sainte-Marie;10/05/2016;Non;04 42 03 15 40;ce.0132810j@ac-aix-marseille.fr;13 rue Jeu de Ballon;13400;Aubagne   ;S;Non
74;Lycée Saint-Jean de Garguier;10/05/2016;Non;04 42 18 88 18;saintjeandegarguier.free.fr;Chemin du Puits;13420;Gémenos   ;S;Non
75;Lycée Auguste et Louis Lumière;10/05/2016;Non;04 42 08 38 38;ce.0131747D@ac-aix-marseille.fr;Avenue Jules Ferry;13600;La Ciotat  ;S;Non
76;Lycée de la Méditerranée;10/05/2016;Non;04 42 08 80 20;ce.0133406G@ac-aix-marseille.fr;Avenue de la Méditerranée;13600;La Ciotat  ;S-STI2D-STL;Non
77;EMP - Lycée militaire d'Aix-en-Provence;10/05/2016;Non;04 42 23 89 58;direction.etudes@lycee-militaire-aix.fr;13 boulevard des Poilus;13617;Aix-en-Provence   ;S;CPGE  MP-PC-PSI
78;Lycée Saint-Eloi;10/05/2016;Non;04 42 23 44 99;ce.0131391s@ac-aix-marseille.fr;9 avenue Jules Isaac;13626;Aix-en-Provence Cedex  ;S-STI2D;MS-SN CPGE ATS – PT
79;Lycée Montmajour;14-oct.-15;Non;04 90 96 80 50;ce.0130010R@ac-aix-marseille.fr;Chemin des Moines;13637;ARLES   ;S - STL;      Non      
80;IUT de Provence;;Non;04 90 52 24 10;iut-arles@up.univ-mrs.fr;2 rue Jean Giono  BP 178;13637;ARLES CEDEX  ;Non;DUT INFO
81;IUT de Provence;;Non;04 90 52 24 10;;2 rue Jean Giono  BP 178;13637;ARLES CEDEX  ;Non;DUT SRC
82;Lycée Adam de Craponne;12/05/2016;Non;04 90 56 24 68;ce.0130161E@ac-aix-marseille.fr;218 rue Chateauredon BP 55;13651;Salon-de-Provence Cedex  ;S-STI2D;Non
83;Lycée de l'Empéri;12/05/2016;Non;04 90 44 79 00;ce.0130160D@ac-aix-marseille.fr;21 montée du Puech BP 134;13657;Salon-de-Provence Cedex  ;S;CPGE PC
84;Lycée Paul Langevin;12/05/2016;Non;04 42 80 08 75;ce.0130143K@ac-aix-marseille.fr;131 avenue Dr Fleming BP 19;13691;Martigues Cedex  ;S-STI2D-STL;CPRP-CRSA
85;Lycée Jean Lurçat;12/05/2016;Non;04 42 41 31 80;ce.0132210G@ac-aix-marseille.fr;Boulevard des Rayettes BP 70129;13693;Martigues Cedex  ;S-STI2D;CM
86;Lycée Maurice Genevoix;10/05/2016;Non;04 42 88 76 90;ce.0132410Z@ac-aix-marseille.fr;Avenue du Général de Gaulle;13700;Marignane   ;S;Non
87;Lycée Pierre Mendès-France;26-sept.-14;Non;04 42 89 89 79;ce.0133015G@ac-aix-marseille.fr;Avenue Yitzhak Rabin - BP17;13741;VITROLLES   ; S - STI2D - STL;AERO - CIM - CIRA
88;Lycée Arthur Rimbaud;10/05/2016;Non;04 42 41 10 96;e.0132495S@ac-aix-marseille.fr;Quartier des Salles BP 50650;13808;Istres Cedex  ;S;Non
89;Lycée Saint-Joseph;12/05/2016;Non;04 90 14 56 00;secretariat@stjoavignon.com;62 rue des Lices;84000;Avignon   ;S;CPGE PC
90;Lycée La Salle;12/05/2016;Non;04 90 14 56 56;secretariat.lycee@lasalle84.org;9 rue Notre-Dame des 7 Douleurs BP 165;84008;Avignon Cedex 1 ;STI2D;ELECT-SN
91;Lycée Louis Pasteur;12/05/2016;Non;04 90 14 57 77;contact@lpasteur.org;13 rue du Pont Trouca BP 30295;84011;Avignon Cedex 1 ;S-STL;
92;Lycée Frédéric Mistral;12/05/2016;Non;04 90 80 45 00;ce.0840003X@ac-aix-marseille.fr;37 rue d'Annanelle BP 2022;84023;Avignon Cedex  ;S;CPGE PSI
93;Lycée René Char;12/05/2016;Non;04 90 88 04 04;ce.0840935K@ac-aix-marseille.fr;2 rue Pierre Auguste Renoir BP 696;84033;Avignon Cedex  ;S;
94;Lycée Philippe de Girard;12/05/2016;Non;04 13 95 10 00;ce.0840005z@ac-aix-marseille.fr;138 Route de Tarascon BP 848;84082;Avignon Cedex  ;S;CPI-ELECT-MS-MV-SN CPGE ATS-PT
95;Lycée Saint-Louis;12/05/2016;Non;04 90 34 01 50;secret-lycee@stlouis-orange.fr;Colline Saint-Eutrope BP 204;84100;Orange Cedex  ;S;Non
96;Lycée de l'Arc;12/05/2016;Non;04 90 11 83 00;ce.0840026X@ac-aix-marseille.fr;346 avenue des Etudiants   BP 189;84106;ORANGE CEDEX  ;S;Non
97;Lycée Stéphane Hessel;12/05/2016;Non;04 90 36 02 03;ce.0841117h@ac-aix-marseille.fr;110 avenue Marcel Pagnol Cité scolaire de Vaison-la-Romaine;84110;Vaison-la-Romaine   ;S;Non
98;Lycée Val de Durance;12/05/2016;Non;04 90 09 25 00;ce.0840918S@ac-aix-marseille.fr;Route de l'étang de la Bonde BP 95;84123;Pertuis Cedex  ;S;Non
99;Lycée Saint-Joseph;12/05/2016;Non;04 90 63 00 93;contact@saintjoseph-carpentras.com;105 rue Duplessis;84200;Carpentras   ;S;Non
100;Lycée Immaculée Conception;12/05/2016;Non;04 90 63 17 31;secretariat@immaculee-carpentras.com;18 rue des Marins BP 271;84208;Carpentras Cedex  ;S;Non
101;Lycée Jean-Henri Fabre;12/05/2016;Non;04 90 63 05 83;ce.0840015K@ac-aix-marseille.fr;387 avenue du Mont Ventoux BP 272;84208;Carpentras Cedex  ;S-STI2D;CPRC-CRSA
102;Lycée Victor Hugo;12/05/2016;Non;04 90 63 12 32;ce.0840016L@ac-aix-marseille.fr;139 avenue Victor Hugo BP 273;84208;Carpentras Cedex  ;S;Non
103;Lycée Ismaël Dauphin;12/05/2016;Non;04 90 71 09 81;ce.0840017M@ac-aix-marseille.fr;Rue Pierre Fabre;84300;Cavaillon   ;S;Non
104;Lycée Charles de Gaulle;12/05/2016;Non;04 90 74 11 19;e.0840001V@ac-aix-marseille.fr;104 place Charles de Gaulle BP 149;84405;Apt Cedex  ;S;Non
105;Lycée Lucie Aubrac;12/05/2016;Non;04 32 80 31 90;ce.0841093G@ac-aix-marseille.fr;224 avenue Ernest Laffont;84500;Bollène   ;S;Non
106;Lycée Alphonse Benoît;12/05/2016;Non;04 90 20 64 20;ce.0840021S@ac-aix-marseille.fr;Cours Victor Hugo BP 118;84803;L'Isle-sur-la-Sorgue Cedex  ;S-STI2D;SN
107;Lycée d'enseignement général et technologique François Pétrarque;12/05/2016;Non;04 90 13 43 13;legta.avignon@educagri.fr;3592 Route de Marseille, Campus Agroparc BP 1208;84911;Avignon Cedex 9 ;S;Non
108;IUT;;Non;04.90.84.14.00;;337 Chemin des Meinajaries  BP 1207  ;84911;AVIGNON CEDEX 9 ;Non;DUT BIO
109;Lycée La Providence;22/09/2016;Non;03 23 20 26 62;direction@laprovidence02.fr;2 rue Clerjot;2001; LAON CEDEX ;Oui;Non
110;Lycée Paul Claudel;22/09/2016;Non;03 23 26 22 60;paulclaudel.laon@ac-amiens.fr;Place Foch BP 531;2001; LAON CEDEX 1;Oui;Non
111;Lycée Pierre Méchain;22/09/2016;Non;03 23 26 25 00;Ce.0020034B@ac-amiens.fr;19 rue Léo Lagrange;2011; LAON CEDEX ;Oui;Non
112;Iut de l'Aisne - Site de Saint-Quentin;04/10/2016;Non;03 23 50 36 91;secretariat-gcgp@u-picardie.fr ;48 Rue d'Ostende;2100; SAINT QUENTIN ;Non;DUT GC-GP
113;Iut de l'Aisne - Site de Saint-Quentin;04/10/2016;Non;03 23 50 36 95; secretariat-gmp@u-picardie.fr ;48 Rue d'Ostende;2100; SAINT QUENTIN ;Non;DUT GMP
114;Lycée Condorcet;22/09/2016;Non;03 23 08 44 44;condorcet.st-quentin@ac-amiens.fr;Rond Point Joliot Curie;2100; SAINT QUENTIN ;Oui;Oui
115;Lycée Henri Martin;22/09/2016;Non;03 23 06 38 38;Ce.0020048S@ac-amiens.fr;1 rue Gabriel Girodon;2100; SAINT QUENTIN ;Oui;Non
116;Lycée Pierre de la Ramée;22/09/2016;Non;03 23 62 83 00;ce.0020049t@ac-amiens.fr;1 rue Jules Siegfried;2100; SAINT QUENTIN ;Oui;CPGE 
117;Lycée Saint-Jean et la Croix;22/09/2016;Non;03 23 62 34 17;as.scol@st-jean02.org;25 rue Antoine Lecuyer BP 250;2105; SAINT QUENTIN CEDEX;Oui;Non
118;Lycée Saint-Joseph;22/09/2016;Non;03 23 98 05 11;stjoseph.vervins@wanadoo.fr;2 chaussée de Fontaine;2140; FONTAINE LES VERVINS;Oui;Non
119;Lycée Saint-Rémy;22/09/2016;Non;03 23 53 20 62;secretariatstremy@asstremy.fr;8 rue Saint-Jean CS 90151;2207;SOISSONS CEDEX  ;Oui;Non
120;Lycée Gérard de Nerval;22/09/2016;Non;03 23 53 00 27;Ce.0020059D@ac-amiens.fr;14 rue Paul Deviolaine;2209;SOISSONS CEDEX  ;Oui;Non
121;Lycée Léonard de Vinci;22/09/2016;Non;03 23 75 35 50;vinci.soissons@ac-amiens.fr;1 espace Jean Guerland BP 547;2231;SOISSONS CEDEX  ;Oui;Non
122;Lycée Saint-Charles;22/09/2016;Non;03 23 52 10 50;st-charles@wanadoo.fr;1 rue du Brouage;2300;CHAUNY   ;Oui;Non
123;Lycée Gay Lussac;22/09/2016;Non;03 23 40 20 50;Ce.0020014E@ac-amiens.fr;23 Boulevard Gambetta BP 52;2302;CHAUNY CEDEX  ;Oui;Oui
124;Lycée Saint-Joseph - Sainte Marie-Madeleine;22/09/2016;Non;03 23 84 98 80;secretariat@saint-jo.com;9 quai Amédée Couesnon;2400; CHÂTEAU THIERRY CEDEX;Oui;Non
125;Lycée Jean de La Fontaine;22/09/2016;Non;03 23 69 23 38;Ce.0020012C@ac-amiens.fr;2 rue de Mosbach BP 70159;2404; CHÂTEAU THIERRY CEDEX;Oui;Non
126;Lycée Jules Verne;22/09/2016;Non;03 23 83 90 00;Ce.0021939X@ac-amiens.fr;23 rue des Chesneaux BP 178;2405; CHÂTEAU THIERRY CEDEX;Oui;Non
127;Lycée Joliot Curie;22/09/2016;Non;03 23 99 30 30;joliot-curie.hirson@ac-amiens.fr;5 rue Chanzy;2500;HIRSON   ;Oui;A VOIR
128;Lycée européen;22/09/2016;Non;03 23 96 39 23;ce.0021946e@ac-amiens.fr;Avenue de Noue BP 159;2600;VILLERS COTTERETS  ;Oui;Non
129;Iut de l'Aisne - Site de Soissons-Cuffies;04/10/2016;Non;03 23 76 40 10 ;secretariat-geii@u-picardie.fr ;13 et 15 Avenue François Mitterrand ;2880;CUFFIES   ;Non;DUT GEII
130;Iut de l'Aisne - Site de Soissons-Cuffies;04/10/2016;Non;03 23 76 40 20;secretariat-qlio@u-picardie.fr ;13 et 15 Avenue François Mitterrand ;2880;CUFFIES   ;Non;DUT QLIO
131;Lycée Félix Faure;22/09/2016;Non;03 44 48 64 64;Ce.0600001A@ac-amiens.fr;31 boulevard de l'Assaut;60000;BEAUVAIS CEDEX  ;Oui;Non
132;Lycée Jeanne Hachette;22/09/2016;Non;03 44 06 73 73;ce.0601824g@ac-amiens.fr;31 boulevard Amyot d'Inville;60000;BEAUVAIS CEDEX  ;Oui;Non
133;Lycée François Truffaut;22/09/2016;Non;03 44 12 45 12;ce.0601823f@ac-amiens.fr;4 rue de Pontoise BP 70777;60007;BEAUVAIS   ;Oui;Non
134;Lycée Paul Langevin;22/09/2016;Non;03 44 12 17 17;Ce.0600002B@ac-amiens.fr;3 avenue Montaigne BP 60954;60009;BEAUVAIS   ;Oui;Oui
135;Lycée Saint-Esprit;22/09/2016;Non;03 44 12 19 40;stesprit.beauvais@ac-amiens.fr;68 rue de Pontoise BP 50504;60026;BEAUVAIS CEDEX  ;Oui;Non
136;Lycée Jules Uhry;22/09/2016;Non;03 44 64 75 44;Ce.0600021X@ac-amiens.fr;10 rue Aristide Briand BP 112;60107;CREIL CEDEX  ;Oui;Oui
137;Lycée Condorcet;22/09/2016;Non;03 44 52 37 80;Ce.0601865B@ac-amiens.fr;Rue Condorcet BP 20146;60111;MERU CEDEX  ;Oui;Non
138;Lycée Saint-Dominique;22/09/2016;Non;03 44 54 31 38;secretariat@stdo-60.fr;5 rue Gérard de Nerval;60128;MORTEFONTAINE   ;Oui;Non
139;Lycée Marie Curie;22/09/2016;Oui;03 44 74 31 31;Ce.0600020W@ac-amiens.fr;47 Boulevard Pierre de Coubertin;60180;NOGENT SUR OISE ;Oui;Oui
140;Lycée Jean-Paul II;22/09/2016;Non;03 44 20 07 03; lgt@latilloye.fr;1 avenue de la Libération BP 60435;60204;COMPIEGNE CEDEX  ;Oui;Non
141;Lycée Hugues Capet;22/09/2016;Non;03 44 63 65 50;Ce.0601826J@ac-amiens.fr;32 avenue de Reims;60300;SENLIS   ;Oui;Non
142;Lycée Saint-Vincent;22/09/2016;Non;03 44 53 96 40; Ce.0601149Y@ac-amiens.fr;30 rue de Meaux BP 20088;60304;SENLIS CEDEX  ;Oui;Non
143;Lycée Charles de Gaulle;22/09/2016;Non;03 44 20 20 88;Ce.0601863Z@ac-amiens.fr;Rue Jacques Daguerre BP 47;60321;COMPIEGNE CEDEX  ;Oui;Non
144;Lycée Mireille Grenet;22/09/2016;Non;03 44 92 28 00;Ce.0600015R@ac-amiens.fr;3 avenue de Huy BP 80023;60321;COMPIEGNE CEDEX  ;Oui;Non
145;Lycée Pierre d'Ailly;22/09/2016;Non;03 44 92 13 13;Ce.0600014P@ac-amiens.fr;136 boulevard des Etats-Unis BP 90015;60321;COMPIEGNE CEDEX  ;Oui;CPGE 
146;Lycée La Maison française;22/09/2016;Non;03 44 42 80 33;Ce.0601703A@ac-amiens.fr;La Chesnoye;60350;CUISE LA MOTTE ;Oui;Non
147;Institut Charles Quentin;22/09/2016;Non;03 44 42 80 40;secretariat@charlesquentin.com;1 rue Sabatier;60350;PIERREFONDS   ;Oui;Non
148;Lycée Jean Calvin;22/09/2016;Non;03 44 93 47 00;Ce.0600040T@ac-amiens.fr;rue Jean Moulin BP 10152;60401;NOYONS CEDEX  ;Oui;Non
149;Lycée Jean Rostand;22/09/2016;Non;03 44 62 47 00;Ce.0600009J@ac-amiens.fr;2 place Georges Paquier BP 60329;60634;CHANTILLY CEDEX  ;Oui;Non
150;Lycée Saint-Joseph du Moncel;22/09/2016;Non;03 44 31 73 30;saint-joseph@wanadoo.fr;8 place de l'église BP 50249;60722;PONT SAINTE MAXENCE ;Oui;Non
151;Lycée André Malraux;22/09/2016;Non;03 44 64 63 20;Ce.0601864A@ac-amiens.fr;1 place Nelson Mandela BP 159;60761;MONTATAIRE CEDEX  ;Oui;Non
152;Lycée Jean Monnet;22/09/2016;Non;03 44 39 30 90;Ce.0601832R@ac-amiens.fr;10 rue des Cèdres;60803;CREPY EN VALOIS CEDEX ;Oui;Non
153;Lycée du Sacré-Coeur;22/09/2016;Non;03 22 82 84 70;info@sacrecoeur-amiens.org;1 rue de l'Oratoire BP 40718;80007;AMIENS CEDEX 1 ;Oui;Non
154;Lycée Jean-Baptiste Delambre;22/09/2016;Non;03 22 66 30 60;Ce.0801700N@ac-amiens.fr;Rue Montaigne;80015;AMIENS CEDEX 2 ;Oui;Oui
155;Lycée La Hotoie;22/09/2016;Non;03 22 22 47 47;Ce.0801882L@ac-amiens.fr;Rue du Bâtonnier Mahiu BP 6;80016;AMIENS CEDEX 1 ;Oui;Non
156;Lycée Sainte-Famille;22/09/2016;Non;03 22 71 46 46;lycee@stefa.org;5 rue de Castille CS 71737;80017;AMIENS CEDEX 1 ;Oui;Non
